# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	1248
#@/user_id	662924db-9313-4d87-817a-45375dfe3f1f
hua 	話	c=1 d=1 t=901
hua wei 	華爲	c=1 d=0.431711 t=1248
huan 	換	c=1 d=0.151072 t=1248
huan jing 	環境	c=1 d=1 t=1151
huang shi 	皇室	c=1 d=0.440432 t=1248
hui 	回	c=1 d=1 t=709
hui 	會	c=5 d=3.80231 t=1082
hui bu hui 	會不會	c=1 d=0.25284 t=1248
hui yong 	會用	c=1 d=0.377192 t=1248
hui yuan 	會員	c=1 d=1 t=1134
huo 	火	c=1 d=1 t=760
huo zhe 	或者	c=1 d=0.913931 t=1248
ji 	機	c=0 d=0.0187308 t=1248
ji chang 	機場	c=1 d=0.904837 t=1248
ji de 	記得	c=0 d=0.1 t=1181
ji lu 	記錄	c=1 d=0.318224 t=1248
ji tian 	幾天	c=1 d=1 t=959
ji yu 	基於	c=1 d=0.351692 t=1248
ji zhu 	記住	c=0 d=0.1 t=548
ji zhu ta 	記住他	c=1 d=1 t=549
jia 	加	c=1 d=1 t=397
jia you 	加油	c=7 d=1.78442 t=1209
jian ji 	剪輯	c=1 d=1 t=510
jian kang 	健康	c=1 d=1 t=764
jian yi 	建議	c=0 d=0.1 t=605
jiang shi 	殭屍	c=2 d=0.560262 t=1248
jiao 	教	c=1 d=1 t=1191
jie 	解	c=1 d=1 t=617
jie ping 	截屏	c=1 d=0.740818 t=1248
jie tu 	截圖	c=1 d=0.790571 t=1248
jin 	盡	c=1 d=1 t=950
jin liang 	儘量	c=0 d=0.1 t=612
jin shen 	謹慎	c=1 d=1 t=944
jing dong 	京東	c=2 d=0.481909 t=1248
jing shen 	精神	c=1 d=1 t=572
jiu 	久	c=1 d=1 t=412
jiu 	就	c=14 d=1.12543 t=1248
jiu bu hui 	就不會	c=1 d=1 t=993
jiu cheng 	就成	c=1 d=1 t=486
jiu he 	就和	c=0 d=0.1 t=1072
jiu shi 	就是	c=4 d=1.6514 t=1193
jiu xiang 	就像	c=1 d=1 t=832
ju jue 	拒絕	c=1 d=0.339596 t=1248
jue de 	覺得	c=1 d=1 t=806
kai ge 	開個	c=1 d=1 t=850
kai yuan 	開源	c=2 d=0.733923 t=1248
kan 	看	c=4 d=1.97026 t=1248
kan de 	看得	c=0 d=0.1 t=1140
kan de shi 	看得是	c=1 d=1 t=1141
kan fan 	看番	c=1 d=1 t=1157
kan yan 	看眼	c=1 d=0.927743 t=1248
kan zhe 	看着	c=1 d=1 t=502
kang kang 	康康	c=1 d=0.798516 t=1248
ke 	可	c=1 d=0.0444858 t=1248
ke bei 	可悲	c=1 d=1 t=1228
ke hai xing 	可還行	c=3 d=0.472905 t=1248
ke neng 	可能	c=1 d=0.748264 t=1248
ke yan 	科研	c=1 d=1 t=740
ke yi 	可以	c=4 d=0.420469 t=1248
ke yi a 	可以啊	c=1 d=1 t=1029
ke yong 	可用	c=1 d=0.167797 t=1248
ku 	酷	c=4 d=0.624826 t=1248
kuai 	快	c=3 d=0.275679 t=1248
kuai di 	快遞	c=1 d=1 t=441
kuang jia 	框架	c=2 d=0.161218 t=1248
la la 	啦啦	c=2 d=1.75621 t=1248
lai de 	來的	c=1 d=1 t=952
lai guo 	來過	c=0 d=0.1 t=701
lai shuo 	來說	c=1 d=0.360595 t=1248
lan 	懶	c=1 d=1 t=1200
lan 	藍	c=2 d=1.9802 t=788
lan de 	懶得	c=1 d=0.171719 t=1189
lan ren 	懶人	c=1 d=1 t=1189
lao di fang 	老地方	c=1 d=1 t=1118
lao shi 	老師	c=4 d=1.28081 t=1248
le 	了	c=7 d=2.19455 t=1248
le a 	了啊	c=1 d=1 t=1098
le de 	了的	c=1 d=1 t=827
le ma 	了嗎	c=3 d=1.10546 t=1248
li lun 	理論	c=1 d=0.357007 t=1248
li mao 	禮貌	c=0 d=0.1 t=842
li shi 	歷史	c=0 d=0.0341298 t=1248
lian 	臉	c=0 d=0.1 t=785
lian 	連	c=1 d=1 t=553
lian dou shi 	臉鬥士	c=1 d=1 t=786
lian jie 	鏈接	c=2 d=0.778801 t=1248
lian se 	臉色	c=1 d=1 t=1155
liang 	良	c=1 d=1 t=475
liang tian 	兩天	c=2 d=1.99005 t=639
liao jie 	瞭解	c=2 d=0.881388 t=1248
liao tian 	聊天	c=1 d=0.316637 t=1248
lie biao 	列表	c=1 d=1 t=754
lin 	林	c=2 d=1.06329 t=1026
lu yin 	錄音	c=1 d=1 t=770
luo 	羅	c=1 d=0.847894 t=1248
luo xiao hei 	羅小黑	c=1 d=1 t=1093
ma 	馬	c=1 d=1 t=696
ma fan 	麻煩	c=1 d=0.806541 t=1248
ma ma 	媽媽	c=3 d=2.98506 t=1023
mai 	買	c=3 d=1.21613 t=1248
mai gei 	賣給	c=1 d=1 t=728
mai yi 	買一	c=0 d=0.1 t=1138
