# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	15434
#@/user_id	1085ee9c-96fc-4189-a383-8ffdddf6a4c9
bie ji 	別急	c=1 d=0.559898 t=15434
bie na 	別拿	c=1 d=1.08476e-16 t=15434
bie ren 	別人	c=20 d=0.0245235 t=15434
bie ren jia 	別人家	c=1 d=1 t=3559
bie wang 	別忘	c=1 d=0.000252273 t=15434
bie wang le 	別忘了	c=2 d=7.52338e-15 t=15434
bin bin 	彬彬	c=0 d=0.1 t=3555
bin bin bin bin bin bin bin bin bin bin bin bin 	彬彬彬彬彬彬彬彬彬彬彬彬	c=1 d=1 t=3556
bing 	並	c=1 d=1.47262e-24 t=15434
bing 	病	c=4 d=2.9038e-12 t=15434
bing bei 	冰杯	c=2 d=2.16651 t=1800
bing bei bing bei 	冰杯冰杯	c=1 d=1 t=1793
bing bu 	並不	c=3 d=0.000376244 t=15434
bing bu dong 	並不懂	c=1 d=4.23522e-11 t=15434
bing bu shi 	並不是	c=1 d=3.66731e-23 t=15434
bing du 	病毒	c=1 d=1.0956 t=6201
bing gu 	柄谷	c=1 d=1 t=4407
bing li 	病例	c=4 d=2.64408 t=10201
bing mei 	並沒	c=1 d=1.35755e-08 t=15434
bing mei you 	並沒有	c=1 d=1 t=2151
bing qie 	並且	c=3 d=0.00164502 t=15434
bing xiang 	冰箱	c=1 d=6.91911e-21 t=15434
bo 	波	c=1 d=0.0963276 t=15434
bo dong 	波動	c=1 d=0.00375375 t=15434
bo he 	薄荷	c=1 d=1 t=3499
bo ke 	博客	c=5 d=0.127789 t=15434
bo zi 	脖子	c=2 d=6.99437e-23 t=15434
bu 	不	c=48 d=0.977164 t=15434
bu 	布	c=1 d=1 t=4227
bu 	部	c=1 d=3.07645e-15 t=15434
bu ai 	不愛	c=1 d=7.62057e-10 t=15434
bu an quan 	不安全	c=1 d=1 t=6151
bu an zhuang 	不安裝	c=1 d=1 t=9532
bu bao zheng 	不保證	c=1 d=6.7821e-21 t=15434
bu bei 	不被	c=1 d=1 t=14258
bu bi 	不必	c=2 d=1 t=14896
bu bi 	不比	c=4 d=0.711599 t=15434
bu chao guo 	不超過	c=2 d=1 t=7039
bu cheng 	不成	c=1 d=1 t=5882
bu chu 	不出	c=2 d=1 t=13941
bu chu lai 	不出來	c=2 d=1.625 t=13795
bu chu li 	不處理	c=1 d=1 t=12105
bu cun zai 	不存在	c=3 d=0.122602 t=15434
bu cuo 	不錯	c=1 d=1.44297e-20 t=15434
bu da 	不大	c=13 d=0.105141 t=15434
bu da 	不打	c=0 d=0.1 t=8506
bu da ba 	不大吧	c=1 d=1.14096e-22 t=15434
bu da ge 	不打個	c=1 d=1 t=8507
bu dai 	不帶	c=3 d=0.00559994 t=15434
bu dai biao 	不代表	c=2 d=8.55132e-09 t=15434
bu dang 	不當	c=1 d=1 t=12779
bu dao 	不到	c=5 d=1.81237e-06 t=15434
bu de 	不得	c=1 d=2.00576e-12 t=15434
bu de bu 	不得不	c=0 d=0.00163259 t=15434
bu de bu shuo 	不得不說	c=9 d=0.184822 t=15434
bu de liao 	不得了	c=1 d=1.09358e-23 t=15434
bu deng lu 	不登錄	c=1 d=1.99162e-17 t=15434
bu deng shi 	不等式	c=1 d=3.09776e-08 t=15434
bu ding 	補丁	c=4 d=0.208045 t=15434
bu dong 	不懂	c=6 d=0.000520875 t=15434
bu dou 	布都	c=1 d=1 t=5595
bu dou shi 	不都是	c=2 d=1.03544 t=11372
bu duan 	不斷	c=1 d=1 t=1925
bu dui 	不對	c=4 d=5.17967e-05 t=15434
bu dui jin 	不對勁	c=1 d=1 t=7923
bu duo 	不多	c=1 d=3.74661e-10 t=15434
bu er qiao ya 	布爾喬亞	c=1 d=1 t=2081
bu fan dui 	不反對	c=2 d=0.0147283 t=15434
bu fan zhi 	不繁殖	c=1 d=0.000142667 t=15434
bu fang 	不放	c=1 d=1 t=8953
bu fang ai 	不妨礙	c=1 d=1.9043e-19 t=15434
bu fen 	部分	c=1 d=1 t=14047
bu fu he 	不符合	c=1 d=1 t=6537
bu gan 	不敢	c=1 d=0.0925506 t=15434
bu gao su ni 	不告訴你	c=0 d=0.1 t=3275
bu gei 	不給	c=2 d=0.39671 t=11236
bu gei de 	不給的	c=1 d=1 t=11237
bu gou 	不夠	c=4 d=5.95032e-09 t=15434
bu guan 	不管	c=6 d=0.00229965 t=15434
bu guan le 	不管了	c=2 d=6.23145e-10 t=15434
bu guan shi 	不管是	c=1 d=0.923116 t=15434
bu guang 	不光	c=0 d=0.0591555 t=15434
bu guang gui 	不光貴	c=1 d=0.594521 t=15434
bu gui 	不貴	c=1 d=2.90529e-18 t=15434
bu gui fan 	不規範	c=1 d=1 t=13209
bu gui lv 	不規律	c=1 d=1 t=15059
bu guo 	不過	c=6 d=0.0580081 t=15434
bu guo duo 	不過多	c=1 d=1 t=3596
bu guo shi 	不過是	c=1 d=1 t=5421
bu hao 	不好	c=5 d=0.115903 t=15434
bu hao me 	不好麼	c=2 d=0.186376 t=15434
bu he 	不合	c=0 d=0.1 t=8134
bu he li 	不合理	c=2 d=0.00938884 t=15434
bu he li a 	不合理啊	c=1 d=1 t=6720
bu he ni 	不合你	c=1 d=1 t=8135
bu he shi 	不合適	c=0 d=1.06843e-15 t=15434
bu hua 	不花	c=1 d=4.92146e-13 t=15434
bu hua qian 	不花錢	c=1 d=1 t=3374
bu hui 	不會	c=13 d=0.310954 t=15434
bu hui wo 	不會我	c=1 d=1 t=9998
bu hui yong 	不會用	c=1 d=0.045502 t=15434
bu ji dao 	不寄到	c=2 d=1 t=8295
bu ji de 	不記得	c=0 d=0.0904837 t=15434
bu jia 	不加	c=1 d=2.74318e-19 t=15434
bu jian 	不見	c=1 d=0.00152616 t=15434
bu jian rong 	不兼容	c=1 d=1 t=5096
bu jiang 	不講	c=1 d=1 t=14703
bu jie 	不解	c=0 d=0.1 t=15083
bu jie shi 	不解是	c=1 d=1 t=15084
bu jin jin 	不僅僅	c=1 d=1 t=14645
bu jing ri 	不精日	c=1 d=2.14527e-09 t=15434
bu jing yi jian 	不經意間	c=1 d=1 t=8716
bu jiu 	不就	c=6 d=0.00125696 t=15434
bu jue 	不覺	c=1 d=4.05015e-10 t=15434
bu ka 	不卡	c=0 d=5.27921e-16 t=15434
bu ka me 	不卡麼	c=1 d=5.30567e-15 t=15434
bu kai 	不開	c=1 d=0.0428521 t=15434
bu kan 	不看	c=1 d=0.017249 t=15434
bu ke 	不可	c=3 d=1 t=12593
bu ke 	補課	c=4 d=1.7827 t=10459
bu ke bi mian 	不可避免	c=1 d=1 t=3138
bu ke neng 	不可能	c=3 d=1.78167e-05 t=15434
bu ke yi 	不可以	c=4 d=0.546462 t=15434
bu lai 	不來	c=2 d=1.66155e-10 t=15434
bu le 	不了	c=1 d=1.01957e-15 t=15434
bu li wo 	不理我	c=2 d=1.84717 t=9919
bu liao 	不了	c=4 d=9.70941e-07 t=15434
bu liao 	不聊	c=0 d=2.00058e-12 t=15434
bu liao le 	不聊了	c=1 d=2.01061e-11 t=15434
bu lun 	不論	c=1 d=1 t=1307
bu luo 	部落	c=2 d=0.438235 t=15434
bu luo fen 	布洛芬	c=1 d=1 t=4225
bu man 	不滿	c=2 d=6.60162e-19 t=15434
bu mie 	不滅	c=4 d=1.52068 t=3726
bu nan 	不難	c=0 d=0.000343067 t=15434
bu neng 	不能	c=12 d=0.0237355 t=15434
bu neng ne 	不能呢	c=1 d=1 t=14205
bu neng yong 	不能用	c=1 d=2.08364e-19 t=15434
bu pei 	不配	c=0 d=0.1 t=12071
bu qing 	不清	c=2 d=1.00654 t=13612
bu qing chu 	不清楚	c=1 d=1 t=3281
bu qu 	不去	c=1 d=7.10779e-14 t=15434
bu quan 	不全	c=2 d=1 t=9886
bu quan 	補全	c=1 d=1 t=4137
bu que xin 	不確信	c=1 d=7.5916e-24 t=15434
bu ran 	不染	c=1 d=5.93996e-20 t=15434
bu ran 	不然	c=13 d=0.529199 t=15434
bu ran ne 	不然呢	c=1 d=1 t=9111
bu rang 	不讓	c=1 d=7.04999e-10 t=15434
bu rang gao 	不讓搞	c=1 d=8.57144e-11 t=15434
bu rang ni 	不讓你	c=1 d=1 t=10693
bu ren 	不認	c=1 d=0.000568878 t=15434
bu ren lu 	不認路	c=1 d=1 t=6941
bu ren shi 	不認識	c=1 d=1 t=14967
bu ren shi ta 	不認識他	c=1 d=1 t=12309
bu ren tong 	不認同	c=2 d=3.84021e-05 t=15434
bu ren wei 	不認爲	c=1 d=1 t=10878
bu ru 	不如	c=2 d=0.239309 t=15434
bu ru shuo 	不如說	c=2 d=0.0188107 t=15434
bu shang 	不上	c=2 d=1 t=9037
bu shi 	不是	c=62 d=0.869748 t=15434
bu shi a 	不是啊	c=1 d=9.83907e-16 t=15434
bu shi ba 	不是吧	c=2 d=1.56553 t=8100
bu shi he 	不適合	c=1 d=1.0578e-14 t=15434
bu shi ma 	不是嗎	c=1 d=8.5595e-24 t=15434
